country_name,countryiso3code,year,school,pop,gdp_pc_real,inv_share
Aruba,ABW,1985,,61728.0,,
Aruba,ABW,1986,,59931.0,16150.6510725001,
Aruba,ABW,1987,,59159.0,18992.0683778812,
Aruba,ABW,1988,,59331.0,22468.5071202357,
Aruba,ABW,1989,,60443.0,24730.3964479092,
Aruba,ABW,1990,,62753.0,24763.6538099384,
Aruba,ABW,1991,,65896.0,25460.3630272927,
Aruba,ABW,1992,,69005.0,25743.4455010025,
Aruba,ABW,1993,,73685.0,25870.1533960504,
Aruba,ABW,1994,,77595.0,26581.9767488997,
Aruba,ABW,1995,,79805.0,26504.1864180809,31.1336717428088
Aruba,ABW,1996,,83021.0,25779.5979282247,28.4615384615385
Aruba,ABW,1997,,86301.0,26547.4166076696,30.2334062727936
Aruba,ABW,1998,,88451.0,26418.0883302727,31.7007715531701
Aruba,ABW,1999,,89659.0,26384.8105935137,30.8690012970169
Aruba,ABW,2000,,90588.0,28104.8954362859,25.4941135775374
Aruba,ABW,2001,97.5565338134766,91439.0,29007.7386958774,23.9991775312859
Aruba,ABW,2002,100.163063049316,92074.0,28535.4639480222,26.629979781872
Aruba,ABW,2003,101.929069519043,93128.0,28525.8077063839,28.8817040907799
Aruba,ABW,2004,100.940940856934,95138.0,29959.7748189582,28.4513918843887
Aruba,ABW,2005,99.2053527832031,97635.0,29081.7066997897,33.160442199198
Aruba,ABW,2006,99.8657531738281,99405.0,28885.9118700469,34.5191296544988
Aruba,ABW,2007,106.236473083496,100150.0,29556.8384686554,31.746651038248
Aruba,ABW,2008,97.0627517700195,100917.0,29870.6648077005,32.1030557196345
Aruba,ABW,2009,99.1602172851562,101604.0,26204.0597361984,29.6421797785745
Aruba,ABW,2010,98.2207412719727,101838.0,25429.2180974853,28.2831797071863
Aruba,ABW,2011,96.633918762207,102591.0,26093.0542083227,27.4166371579459
Aruba,ABW,2012,108.976188659668,104110.0,25444.7336646687,23.5225068320821
Aruba,ABW,2013,,105675.0,26680.1411206342,23.825859897396
Aruba,ABW,2014,,106807.0,26773.8226808518,23.1114410000278
Aruba,ABW,2015,,107906.0,27458.2201537506,21.538867068293
Aruba,ABW,2016,,108727.0,27587.2498040483,20.5749571545811
Aruba,ABW,2017,,108735.0,28548.8904317739,20.5511714864529
Aruba,ABW,2018,137.829788208008,108908.0,29419.208623316,22.4017184437014
Aruba,ABW,2019,139.320587158203,109203.0,29699.1805366222,22.6154511785237
Aruba,ABW,2020,135.124725341797,108587.0,22729.8897593533,23.9492805852762
Aruba,ABW,2021,123.625907897949,107700.0,26292.9179363154,20.2449106732973
Aruba,ABW,2022,131.802169799805,107310.0,29195.2670227422,19.8080671623567
Aruba,ABW,2023,,107359.0,31430.9353682253,22.335385480803
Aruba,ABW,2024,124.379366731084,107995.0,33373.9174591266,25.1538409611884
Africa Eastern and Southern,AFE,1985,23.5769100189209,269450407.0,1313.72659606602,
Africa Eastern and Southern,AFE,1986,23.6898307800293,277621771.0,1304.01890447155,
Africa Eastern and Southern,AFE,1987,24.0443096160889,286067346.0,1315.3635170405,
Africa Eastern and Southern,AFE,1988,24.2764701843262,294498625.0,1332.47318051448,
Africa Eastern and Southern,AFE,1989,24.0915794372559,302939121.0,1329.8823454066,
Africa Eastern and Southern,AFE,1990,24.2189292907715,311748681.0,1293.87019984421,
Africa Eastern and Southern,AFE,1991,24.6175899505615,320442961.0,1257.43010635358,
Africa Eastern and Southern,AFE,1992,24.4192504882812,329082707.0,1195.08923269785,
Africa Eastern and Southern,AFE,1993,24.6954898834229,338324002.0,1152.69117278499,
Africa Eastern and Southern,AFE,1994,25.0056095123291,347441809.0,1143.98845464791,19.5667435850594
Africa Eastern and Southern,AFE,1995,25.7894802093506,356580375.0,1163.20953377772,19.6742320871656
Africa Eastern and Southern,AFE,1996,26.1036396026611,366138524.0,1195.1399532582,19.0404994645871
